Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,"""Pearsonr correlation"":correlation,
            ""P vale"":p_value,Gain"
DE KNN,0.6388888888888888,0.6212121212121212,0.7454545454545455,0.5283018867924528,0.7454545454545455,0.2545454545454545,0.4716981132075472,0.5283018867924528,0.6776859504132231,0.4651801029159519
PSO KNN,0.7407407407407407,0.7288135593220338,0.7818181818181819,0.6981132075471698,0.7818181818181819,0.21818181818181817,0.3018867924528302,0.6981132075471698,0.7543859649122807,0.5742710120068613
WOA KNN,0.6481481481481481,0.6231884057971014,0.7818181818181819,0.5094339622641509,0.7818181818181819,0.21818181818181817,0.49056603773584906,0.5094339622641509,0.6935483870967742,0.483704974271012
HHO KNN,0.6481481481481481,0.6231884057971014,0.7818181818181819,0.5094339622641509,0.7818181818181819,0.21818181818181817,0.49056603773584906,0.5094339622641509,0.6935483870967742,0.47684391080617505
SMA KNN,0.6481481481481481,0.6231884057971014,0.7818181818181819,0.5094339622641509,0.7818181818181819,0.21818181818181817,0.49056603773584906,0.5094339622641509,0.6935483870967742,0.483704974271012
FGOA KNN,0.6944444444444444,0.6896551724137931,0.7272727272727273,0.660377358490566,0.7272727272727273,0.2727272727272727,0.33962264150943394,0.660377358490566,0.7079646017699115,0.5022298456260719
original GBDT,0.7413793103448276,0.7777777777777778,0.7,0.7857142857142857,0.7,0.3,0.21428571428571427,0.7857142857142857,0.7368421052631579,0.5119047619047619
GA GBDT,0.7685185185185185,0.7884615384615384,0.7454545454545455,0.7924528301886793,0.7454545454545455,0.2545454545454545,0.20754716981132076,0.7924528301886793,0.7663551401869159,0.6634648370497427
DE GBDT,0.7592592592592593,0.7301587301587301,0.8363636363636363,0.6792452830188679,0.8363636363636363,0.16363636363636364,0.32075471698113206,0.6792452830188679,0.7796610169491526,0.6010291595197255
PSO GBDT,0.7685185185185185,0.7884615384615384,0.7454545454545455,0.7924528301886793,0.7454545454545455,0.2545454545454545,0.20754716981132076,0.7924528301886793,0.7663551401869159,0.6634648370497427
WOA GBDT,0.7407407407407407,0.7213114754098361,0.8,0.6792452830188679,0.8,0.2,0.32075471698113206,0.6792452830188679,0.7586206896551724,0.5183533447684392
HHO GBDT,0.7314814814814815,0.7096774193548387,0.8,0.660377358490566,0.8,0.2,0.33962264150943394,0.660377358490566,0.7521367521367521,0.5005145797598627
